Step;Tamanho do dataset; Qtd. entradas do índice;Tempo de construção do índice(seg);Tempo de consulta para 1 palavra - Aleatório(ms);Tempo de consulta para 2 palavras - Aleatório(ms);Tempo de consulta para 1 palavra - Melhor caso(ms);Tempo de consulta para 1 palavra - Caso médio(ms);Tempo de consulta para 1 palavra - Pior caso(ms);Tempo de consulta para 2 palavras - Melhor caso(ms);Tempo de consulta para 2 palavras - Caso médio(ms);Tempo de consulta para 2 palavras - Pior caso(ms)
2;62;2152;3695600;856;1291;;;;;;
2;63;2621;3554200;1158;1458;;;;;;
2;64;1908;3568200;779;1124;;;;;;
2;65;2334;3620800;940;1389;;;;;;
2;66;2270;3748100;898;1366;;;;;;
2;67;2378;3645300;955;1418;;;;;;
2;68;2434;3695100;1061;1367;;;;;;
2;69;2598;3682900;1012;1581;;;;;;
2;70;2581;3737800;1023;1552;;;;;;
2;71;4969;3626700;2029;2934;;;;;;
2;72;4000;3426800;1661;2333;;;;;;
2;73;4130;3471100;1686;2439;;;;;;
2;74;5510;3667100;2136;3368;;;;;;
2;75;6036;3888600;2379;3651;;;;;;
2;76;4620;3690300;1846;2769;;;;;;
2;77;4399;3557200;1742;2652;;;;;;
2;78;3658;3542300;1499;2154;;;;;;
2;79;4524;3529600;1857;2662;;;;;;
2;80;4397;3740600;1744;2648;;;;;;
3;1;1043;1926300;494;546;;;;;;
3;2;1247;1738700;557;687;;;;;;
3;3;1502;1780700;643;856;;;;;;
3;4;1579;1910000;570;1007;;;;;;
3;5;1240;2082500;564;672;;;;;;
3;6;1629;1923800;696;929;;;;;;
3;7;1026;1750600;345;678;;;;;;
3;8;1344;1932500;544;796;;;;;;
3;9;1402;1857800;520;879;;;;;;
3;10;1330;1859600;478;849;;;;;;
3;11;1706;3620300;712;989;;;;;;
3;12;3242;3749300;1284;1953;;;;;;
3;13;2622;5166900;1030;1585;;;;;;
3;14;2820;3883500;1177;1638;;;;;;
3;15;2611;3699700;1048;1558;;;;;;
3;16;3043;3938200;1262;1775;;;;;;
3;17;2021;3579500;842;1173;;;;;;
3;18;2704;3721600;1122;1577;;;;;;
3;19;2127;3614000;782;1340;;;;;;
3;20;2074;3718100;845;1224;;;;;;
3;21;22;1998800;11;8;;;;;;
3;22;44;1976000;19;21;;;;;;
3;23;23;1829000;11;9;;;;;;
3;24;32;2006600;15;13;;;;;;
3;25;18;1872800;9;7;;;;;;
3;26;28;1952000;13;12;;;;;;
3;27;138;1965700;52;84;;;;;;
3;28;23;1877400;11;9;;;;;;
3;29;24;1917400;12;9;;;;;;
3;30;30;1901100;14;12;;;;;;
3;31;24;1928300;12;9;;;;;;
3;32;70;2011000;30;37;;;;;;
3;33;91;1928600;35;53;;;;;;
3;34;25;1703900;12;10;;;;;;
3;35;144;1658600;52;89;;;;;;
3;36;2146;1585400;837;1306;;;;;;
3;37;2101;1663000;845;1253;;;;;;
3;38;3033;1759100;1239;1791;;;;;;
3;39;2532;1804800;1006;1523;;;;;;
3;40;2235;1628500;896;1336;;;;;;
3;41;1318;1578900;556;759;;;;;;
3;42;2288;1756300;933;1352;;;;;;
3;43;1737;1552900;715;1020;;;;;;
3;44;3270;1762500;1345;1922;;;;;;
3;45;1956;1645400;791;1162;;;;;;
3;46;2261;1613000;958;1301;;;;;;
3;47;2479;1634500;946;1530;;;;;;
