Step;Tamanho do dataset; Qtd. entradas do índice;Tempo de construção do índice(seg);Tempo de consulta para 1 palavra - Aleatório(ms);Tempo de consulta para 2 palavras - Aleatório(ms);Tempo de consulta para 1 palavra - Melhor caso(ms);Tempo de consulta para 1 palavra - Caso médio(ms);Tempo de consulta para 1 palavra - Pior caso(ms);Tempo de consulta para 2 palavras - Melhor caso(ms);Tempo de consulta para 2 palavras - Caso médio(ms);Tempo de consulta para 2 palavras - Pior caso(ms)
2;24;32;1656600;16;13;;;;;;
2;25;19;1660600;10;7;;;;;;
2;26;27;1698800;13;11;;;;;;
2;27;140;1712700;55;82;;;;;;
2;28;22;1690400;11;8;;;;;;
2;29;24;1678500;13;9;;;;;;
2;30;31;1661900;16;12;;;;;;
2;31;23;1620800;12;8;;;;;;
2;32;64;1466300;32;29;;;;;;
2;33;79;1446400;34;42;;;;;;
2;34;23;1447700;11;9;;;;;;
2;35;148;1452700;54;91;;;;;;
2;36;1926;1326300;715;1208;;;;;;
2;37;2243;1495200;934;1306;;;;;;
2;38;2995;1559100;1066;1925;;;;;;
2;39;2437;1507300;878;1556;;;;;;
2;40;2053;1468800;745;1305;;;;;;
2;41;1309;1371800;453;854;;;;;;
2;42;2561;1541500;1204;1354;;;;;;
2;43;1750;1536500;602;1145;;;;;;
2;44;3129;1539000;1245;1881;;;;;;
2;45;1848;1373500;649;1196;;;;;;
2;46;2545;1659400;1036;1506;;;;;;
2;47;2247;1348800;966;1278;;;;;;
2;48;2229;1416900;907;1320;;;;;;
2;49;2112;1393400;845;1265;;;;;;
2;50;2522;1588600;1040;1479;;;;;;
2;51;36;3361600;19;12;;;;;;
2;52;67;3567600;33;29;;;;;;
2;53;67;3374600;33;29;;;;;;
2;54;64;3016400;33;27;;;;;;
2;55;67;3200700;35;27;;;;;;
2;56;70;3075500;34;32;;;;;;
2;57;55;2957000;29;22;;;;;;
2;58;37;3006600;20;12;;;;;;
2;59;57;2997100;30;23;;;;;;
2;60;233;2799200;165;64;;;;;;
2;61;1713;2965800;608;1100;;;;;;
2;62;1987;2954200;722;1260;;;;;;
2;63;2306;2823700;815;1487;;;;;;
2;64;2058;2876000;871;1182;;;;;;
2;65;2461;3362300;971;1485;;;;;;
2;66;2233;2962600;753;1475;;;;;;
2;67;2355;2999100;955;1396;;;;;;
2;68;2055;3082600;919;1132;;;;;;
2;69;2599;3177300;937;1657;;;;;;
2;70;2472;2840500;885;1582;;;;;;
2;71;4754;3268600;1616;3132;;;;;;
2;72;4097;3201300;1792;2300;;;;;;
2;73;4068;3016900;1596;2467;;;;;;
2;74;5238;3321400;2015;3218;;;;;;
2;75;5560;3209100;2232;3322;;;;;;
2;76;4521;3021900;1582;2933;;;;;;
2;77;4411;3169300;1523;2882;;;;;;
2;78;3495;2887500;1642;1849;;;;;;
2;79;4161;2963000;1683;2473;;;;;;
2;80;4333;3053700;1774;2554;;;;;;
3;1;1073;1914300;355;715;;;;;;
3;2;1022;1552600;400;619;;;;;;
3;3;1200;1391400;471;726;;;;;;
3;4;1662;1444700;538;1121;;;;;;
3;5;1207;1352000;411;793;;;;;;
3;6;1475;1668000;551;921;;;;;;
3;7;1008;1598400;343;662;;;;;;
3;8;1123;1461600;441;679;;;;;;
3;9;1751;1932800;827;920;;;;;;
3;10;1346;1475200;472;871;;;;;;
3;11;1627;2906500;753;870;;;;;;
3;12;3287;3404900;1107;2175;;;;;;
3;13;2656;3133600;1088;1564;;;;;;
3;14;2837;3341200;1155;1677;;;;;;
3;15;2746;3014500;935;1806;;;;;;
3;16;3066;3405600;1279;1782;;;;;;
3;17;1943;2799000;687;1252;;;;;;
3;18;2517;3082400;1191;1321;;;;;;
3;19;2171;3326700;761;1405;;;;;;
3;20;2106;2798200;699;1403;;;;;;
3;21;19;1441400;10;6;;;;;;
3;22;37;1421700;18;17;;;;;;
3;23;19;1370000;10;7;;;;;;
3;24;26;1432700;14;10;;;;;;
3;25;16;1401300;8;5;;;;;;
3;26;23;1359700;12;9;;;;;;
3;27;117;1445600;49;66;;;;;;
3;28;21;1553800;11;7;;;;;;
3;29;21;1476300;11;7;;;;;;
3;30;24;1259400;13;9;;;;;;
3;31;18;1245700;10;6;;;;;;
3;32;55;1276300;26;27;;;;;;
3;33;71;1281700;31;38;;;;;;
3;34;20;1334600;11;7;;;;;;
3;35;137;1278300;51;84;;;;;;
3;36;1960;1290700;865;1093;;;;;;
3;37;2386;1512500;1026;1357;;;;;;
3;38;2867;1419500;1140;1724;;;;;;
3;39;2346;1483900;844;1499;;;;;;
3;40;2431;1675000;1047;1380;;;;;;
3;41;1207;1295300;536;669;;;;;;
3;42;2315;1426400;791;1522;;;;;;
3;43;1621;1305300;566;1053;;;;;;
3;44;3316;1660500;1443;1869;;;;;;
3;45;1950;1324400;788;1160;;;;;;
3;46;1980;1286500;701;1276;;;;;;
3;47;2518;1451900;866;1649;;;;;;
3;48;2256;1483500;964;1289;;;;;;
3;49;2039;1351700;924;1112;;;;;;
3;50;2279;1536900;831;1445;;;;;;
3;51;27;2558300;15;8;;;;;;
3;52;50;2603800;26;20;;;;;;
3;53;50;2576800;26;20;;;;;;
